technique_id,is_subtechnique,technique,tactic,platform,data_source,data_component,relationship_id,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,channel,log_source,filter_in,event_identity,source_identity,evidence_degree,evidence_score,evidence_confidence_reason,telemetry_specificity_score,filter_specificity_score,completeness_score,relationship_strength
T1059.004,True,unix shell,execution,"macOS, Linux",process,process creation,REL-2022-0146,User created Process,user,created,process,1,process creation.,linux,ProcessCreate,,,sysmon,,linux|sysmon|1|process creation.,linux|process|process creation,162,0.1721,"Evidence score 0.17: this telemetry is shared with 161 other techniques, so it has low discriminative power on its own; it contributes a moderate share of the available evidence for this technique.",0.09284766908852593,0.1,0.8421052631578947,0.2448448871758419
T1059.004,True,unix shell,execution,"macOS, Linux",process,process creation,REL-2022-0175,Process created Process,process,created,process,1,process creation.,linux,ProcessCreate,,,sysmon,,linux|sysmon|1|process creation.,linux|process|process creation,162,0.1721,"Evidence score 0.17: this telemetry is shared with 161 other techniques, so it has low discriminative power on its own; it contributes a moderate share of the available evidence for this technique.",0.09284766908852593,0.1,0.8421052631578947,0.2448448871758419
T1059.004,True,unix shell,execution,"macOS, Linux",command,command execution,REL-2022-0131,Process executed Command,process,executed,command,1,process creation.,linux,ProcessCreate,,,sysmon,,linux|sysmon|1|process creation.,linux|command|command execution,162,0.1721,"Evidence score 0.17: this telemetry is shared with 161 other techniques, so it has low discriminative power on its own; it contributes a moderate share of the available evidence for this technique.",0.0827605888602368,0.1,0.8421052631578947,0.23980134706169734
T1059.001,True,powershell,execution,Windows,process,process metadata,REL-2022-0029,Process terminated,process,terminated,,5,process terminated.,windows,ProcessTerminate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|5|process terminated.,windows|process|process metadata,15,0.4389,"Evidence score 0.44: this telemetry is shared with 14 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source.",0.2886751345948129,0.1,0.912280701754386,0.35679370764828366
T1059.001,True,powershell,execution,Windows,process,process metadata,REL-2022-0073,Process searched LDAP,process,searched,ldap,30,eventid(30),windows,,,,microsoft-windows-ldap-client/debug,,windows|microsoft-windows-ldap-client/debug|30|eventid(30),windows|process|process metadata,12,0.4709,"Evidence score 0.47: this telemetry is shared with 11 other techniques, giving it moderate specificity; relative to other evidence for this technique, it's a comparatively minor source.",0.2886751345948129,0.1,0.7982456140350876,0.333986690104424
T1059.001,True,powershell,execution,Windows,process,process metadata,REL-2022-0073,Process searched LDAP,process,searched,ldap,DeviceEvents,deviceevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""LdapSearch""}",windows|microsoft defender for endpoint|DeviceEvents|deviceevents,windows|process|process metadata,270,0.0034,"Evidence score 0.00: this telemetry is shared with 269 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source.",0.2886751345948129,0.42,0.8421052631578947,0.43875861992898535
T1059.001,True,powershell,execution,Windows,process,process creation,REL-2022-0146,User created Process,user,created,process,4688,a new process has been created.,windows,Detailed Tracking,Process Creation,security,microsoft-windows-security-auditing,,windows|microsoft-windows-security-auditing|4688|a new process has been created.,windows|process|process creation,248,0.0164,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source.",0.07352146220938077,0.1,0.956140350877193,0.257988801280129
T1059.001,True,powershell,execution,Windows,process,process creation,REL-2022-0146,User created Process,user,created,process,1,process creation.,windows,ProcessCreate,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|1|process creation.,windows|process|process creation,248,0.0164,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source.",0.07352146220938077,0.1,0.912280701754386,0.2492168714555676
T1059.001,True,powershell,execution,Windows,process,process creation,REL-2022-0146,User created Process,user,created,process,DeviceProcessEvents,deviceprocessevents,windows,,,,microsoft defender for endpoint,"{""ActionType"": ""ProcessCreated""}",windows|microsoft defender for endpoint|DeviceProcessEvents|deviceprocessevents,windows|process|process creation,248,0.0164,"Evidence score 0.02: this telemetry is shared with 247 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source.",0.07352146220938077,0.42,0.8421052631578947,0.33118178373626933
T1059.001,True,powershell,execution,Windows,process,process creation,REL-2022-0153,Process created Thread,process,created,thread,8,createremotethread.,windows,CreateRemoteThread,,microsoft-windows-sysmon/operational,microsoft-windows-sysmon,,windows|microsoft-windows-sysmon|8|createremotethread.,windows|process|process creation,224,0.032,"Evidence score 0.03: this telemetry is shared with 223 other techniques, so it has low discriminative power on its own; relative to other evidence for this technique, it's a comparatively minor source.",0.07352146220938077,0.1,0.912280701754386,0.2492168714555676
